20001,DC053
20002,DC053
20003,DC053
20004,DC053
20005,DC053
20006,DC053
20007,DC053
20008,DC053
20009,DC053
20010,DC053
20011,DC053
20012,DC053
20013,DC053
20015,DC053
20016,DC053
20017,DC053
20018,DC053
20019,DC053
20020,DC053
20022,DC053
20024,DC053
20026,DC053
20027,DC053
20029,DC053
20030,DC053
20032,DC053
20033,DC053
20035,DC053
20036,DC053
20037,DC053
20038,DC053
20039,DC053
20040,DC053
20041,DC053
20042,DC053
20043,DC053
20044,DC053
20045,DC053
20047,DC053
20049,DC053
20050,DC053
20052,DC053
20053,DC053
20055,DC053
20056,DC053
20057,DC053
20058,DC053
20059,DC053
20060,DC053
20061,DC053
20062,DC053
20063,DC053
20064,DC053
20065,DC053
20066,DC053
20067,DC053
20068,DC053
20069,DC053
20070,DC053
20071,DC053
20073,DC053
20074,DC053
20075,DC053
20076,DC053
20077,DC053
20078,DC053
20080,DC053
20081,DC053
20082,DC053
20090,DC053
20091,DC053
20120,DC053
20121,DC053
20122,DC053
20124,DC053
20151,DC053
20153,DC053
20170,DC053
20171,DC053
20172,DC053
20190,DC053
20191,DC053
20192,DC053
20194,DC053
20195,DC053
20196,DC053
20201,DC053
20202,DC053
20203,DC053
20204,DC053
20206,DC053
20207,DC053
20208,DC053
20210,DC053
20211,DC053
20212,DC053
20213,DC053
20214,DC053
20215,DC053
20216,DC053
20217,DC053
20218,DC053
20219,DC053
20220,DC053
20221,DC053
20222,DC053
20223,DC053
20224,DC053
20226,DC053
20227,DC053
20228,DC053
20229,DC053
20230,DC053
20232,DC053
20233,DC053
20235,DC053
20237,DC053
20238,DC053
20239,DC053
20240,DC053
20241,DC053
20242,DC053
20244,DC053
20245,DC053
20250,DC053
20251,DC053
20252,DC053
20254,DC053
20260,DC053
20261,DC053
20262,DC053
20265,DC053
20266,DC053
20268,DC053
20270,DC053
20277,DC053
20289,DC053
20299,DC053
20301,DC053
20303,DC053
20306,DC053
20310,DC053
20314,DC053
20317,DC053
20318,DC053
20319,DC053
20330,DC053
20340,DC053
20350,DC053
20355,DC053
20370,DC053
20372,DC053
20373,DC053
20374,DC053
20375,DC053
20376,DC053
20380,DC053
20388,DC053
20389,DC053
20390,DC053
20391,DC053
20392,DC053
20393,DC053
20394,DC053
20395,DC053
20398,DC053
20401,DC053
20402,DC053
20403,DC053
20404,DC053
20405,DC053
20406,DC053
20407,DC053
20408,DC053
20410,DC053
20411,DC053
20412,DC053
20413,DC053
20414,DC053
20415,DC053
20416,DC053
20417,DC053
20418,DC053
20419,DC053
20420,DC053
20421,DC053
20422,DC053
20423,DC053
20424,DC053
20425,DC053
20426,DC053
20427,DC053
20428,DC053
20429,DC053
20431,DC053
20433,DC053
20434,DC053
20435,DC053
20436,DC053
20437,DC053
20439,DC053
20440,DC053
20441,DC053
20442,DC053
20444,DC053
20447,DC053
20451,DC053
20453,DC053
20456,DC053
20460,DC053
